complexity,SNR,coverage rate,avg length,method,F1 score
"(8,2)",0.5,0.9230769230769231,6.459418204470499,MLE,0.2666666666666667
"(8,2)",0.5,0.92,7.003100560799503,Data splitting,0.33333333333333337
"(8,2)",0.5,0.8222222222222222,4.637849122723595,Naive,0.3636363636363636
"(8,2)",0.5,0.8571428571428571,4.243559231969568,MLE,0.4444444444444445
"(8,2)",0.5,0.9333333333333333,4.215156011114858,Data splitting,0.5
"(8,2)",0.5,0.6,2.7812642033435417,Naive,0.6666666666666666
"(8,2)",0.5,0.8666666666666667,5.09575723292699,MLE,0.2857142857142857
"(8,2)",0.5,0.8571428571428571,4.612348031739889,Data splitting,0.4444444444444445
"(8,2)",0.5,0.84,2.6719609765437666,Naive,0.5714285714285715
"(8,2)",0.5,0.9176470588235294,6.024580581534953,MLE,0.21052631578947367
"(8,2)",0.5,0.86,5.3375270509552015,Data splitting,0.33333333333333337
"(8,2)",0.5,0.7428571428571429,3.279069819271644,Naive,0.4444444444444445
"(8,2)",0.5,0.82,6.223576293077913,MLE,0.18181818181818182
"(8,2)",0.5,0.8888888888888888,5.773195784635484,Data splitting,0.3636363636363636
"(8,2)",0.5,0.82,3.7440483061229433,Naive,0.33333333333333337
"(8,2)",0.5,0.8727272727272727,5.243796123945877,MLE,0.3076923076923077
"(8,2)",0.5,0.8571428571428571,5.8205428050113985,Data splitting,0.4444444444444445
"(8,2)",0.5,0.75,4.044707631843342,Naive,0.4
"(8,2)",0.5,0.84,4.849882988371982,MLE,0.33333333333333337
"(8,2)",0.5,0.94,7.517588028812947,Data splitting,0.33333333333333337
"(8,2)",0.5,0.88,2.5337106583912137,Naive,0.5714285714285715
"(8,2)",0.5,0.8727272727272727,4.97565797164303,MLE,0.3076923076923077
"(8,2)",0.5,0.8444444444444444,5.0942590269136945,Data splitting,0.3636363636363636
"(8,2)",0.5,0.8571428571428571,3.4734380927400843,Naive,0.4444444444444445
"(8,2)",0.5,0.8631578947368421,5.298992797076918,MLE,0.1904761904761905
"(8,2)",0.5,0.8545454545454545,5.786938947209352,Data splitting,0.3076923076923077
"(8,2)",0.5,0.7333333333333333,3.317449404908248,Naive,0.5
"(8,2)",0.5,0.8444444444444444,6.13796970104182,MLE,0.19999999999999998
"(8,2)",0.5,0.9111111111111111,7.0236888589386695,Data splitting,0.3636363636363636
"(8,2)",0.5,0.7555555555555555,4.239627936654698,Naive,0.3636363636363636
"(8,2)",1.0,0.8842105263157894,3.110940000915458,MLE,0.1904761904761905
"(8,2)",1.0,0.8285714285714286,3.764688874245394,Data splitting,0.4444444444444445
"(8,2)",1.0,0.8,2.3263395929752866,Naive,0.5
"(8,2)",1.0,0.8909090909090909,3.893583380437444,MLE,0.3076923076923077
"(8,2)",1.0,0.8666666666666667,2.398560375253403,Data splitting,0.8
"(8,2)",1.0,0.85,2.049682609945127,Naive,0.6666666666666666
"(8,2)",1.0,0.8875,3.7040781903313515,MLE,0.2222222222222222
